n,m,time(s),sat
5,3,0.000026418,True
5,3,0.000027279,True
5,3,0.000025678,True
5,3,0.000025091,True
5,3,0.000023351,True
5,3,0.000027456,True
5,3,0.000024864,True
5,3,0.000026912,True
5,3,0.000025992,True
5,3,0.000027381,True
5,3,0.000027427,True
5,3,0.000026646,True
5,3,0.000027449,True
5,3,0.000026595,True
5,3,0.000024113,True
5,3,0.000028074,True
5,3,0.000025542,True
5,3,0.000025747,True
5,3,0.000023040,True
5,3,0.000027453,True
5,3,0.000025036,True
5,3,0.000025451,True
5,3,0.000024626,True
5,3,0.000024283,True
5,3,0.000024743,True
5,3,0.000026002,True
5,3,0.000025780,True
5,3,0.000025666,True
5,3,0.000024357,True
5,3,0.000029971,True
5,3,0.000027040,True
5,3,0.000027876,True
5,3,0.000024915,True
5,3,0.000028570,True
5,3,0.000026406,True
5,3,0.000026149,True
5,3,0.000026143,True
5,3,0.000029730,True
5,3,0.000023343,True
5,3,0.000028523,True
5,3,0.000027280,True
5,3,0.000025191,True
5,3,0.000028821,True
5,3,0.000022993,True
5,3,0.000024211,True
5,3,0.000023982,True
5,3,0.000027977,True
5,3,0.000025434,True
5,3,0.000028283,True
5,3,0.000026733,True
5,3,0.000026197,True
5,3,0.000026826,True
5,3,0.000025550,True
5,3,0.000026228,True
5,3,0.000027202,True
5,3,0.000026695,True
5,3,0.000027615,True
5,3,0.000026232,True
5,3,0.000027193,True
5,3,0.000025915,True
5,3,0.000028018,True
5,3,0.000028230,True
5,3,0.000028358,True
5,3,0.000027347,True
5,3,0.000025433,True
5,3,0.000026995,True
5,3,0.000026348,True
5,3,0.000027257,True
5,3,0.000026440,True
5,3,0.000028412,True
5,3,0.000024118,True
5,3,0.000029585,True
5,3,0.000025266,True
5,3,0.000024914,True
5,3,0.000026798,True
5,3,0.000029542,True
5,3,0.000029352,True
5,3,0.000024092,True
5,3,0.000026007,True
5,3,0.000025742,True
5,3,0.000026719,True
5,3,0.000025815,True
5,3,0.000024973,True
5,3,0.000027232,True
5,3,0.000025331,True
5,3,0.000025171,True
5,3,0.000026702,True
5,3,0.000024370,True
5,3,0.000025107,True
5,3,0.000025030,True
5,3,0.000024396,True
5,3,0.000029108,True
5,3,0.000026140,True
5,3,0.000025038,True
5,3,0.000027647,True
5,3,0.000025807,True
5,3,0.000026486,True
5,3,0.000027687,True
5,3,0.000024319,True
5,3,0.000025288,True
5,3,0.000025455,True
5,3,0.000036413,True
5,3,0.000034970,True
5,3,0.000029837,True
5,3,0.000027473,True
5,3,0.000027163,True
5,3,0.000026401,True
5,3,0.000024952,True
5,3,0.000028988,True
5,3,0.000027283,True
5,3,0.000027464,True
