graph, edges, result, time
G39_80, 592, UNSAT, 0.02096987s
G39_90, 666, UNSAT, 0.02588820s
G39_100, 741, UNSAT, 0.03142905s
G40_10, 78, UNSAT, 0.00329900s
G40_20, 156, UNSAT, 0.00581503s
G40_30, 234, UNSAT, 0.01010704s
G40_40, 312, UNSAT, 0.01077890s
G40_50, 390, UNSAT, 0.01446295s
G40_60, 468, UNSAT, 0.01950598s
G40_70, 546, UNSAT, 0.02045417s
G40_80, 624, UNSAT, 0.02465796s
G40_90, 702, UNSAT, 0.02784896s
G40_100, 780, UNSAT, 0.03982902s
G41_10, 82, UNSAT, 0.00336409s
G41_20, 164, UNSAT, 0.00615883s
G41_30, 246, UNSAT, 0.00875187s
G41_40, 328, UNSAT, 0.01176906s
G41_50, 410, UNSAT, 0.03021216s
G41_60, 492, UNSAT, 0.02024007s
G41_70, 574, UNSAT, 0.02224612s
G41_80, 656, UNSAT, 0.02649808s
G41_90, 738, UNSAT, 0.03727198s
G41_100, 820, UNSAT, 0.04720616s
G42_10, 86, UNSAT, 0.00450897s
G42_20, 172, UNSAT, 0.00763512s
G42_30, 258, UNSAT, 0.01319790s
G42_40, 344, UNSAT, 0.02037287s
G42_50, 430, UNSAT, 0.02191591s
G42_60, 516, UNSAT, 0.02002001s
G42_70, 602, UNSAT, 0.02659512s
G42_80, 688, UNSAT, 0.02905297s
G42_90, 774, UNSAT, 0.04087591s
G42_100, 861, UNSAT, 0.04777384s
G43_10, 90, UNSAT, 0.00474715s
G43_20, 180, UNSAT, 0.00613809s
G43_30, 270, UNSAT, 0.00870895s
G43_40, 361, UNSAT, 0.02107310s
G43_50, 451, UNSAT, 0.01991415s
G43_60, 541, UNSAT, 0.02300501s
G43_70, 632, UNSAT, 0.03375006s
G43_80, 722, UNSAT, 0.03791189s
G43_90, 812, UNSAT, 0.05026507s
G43_100, 903, UNSAT, 0.05425692s
G44_10, 94, UNSAT, 0.00556493s
G44_20, 189, UNSAT, 0.00585890s
G44_30, 283, UNSAT, 0.01179719s
G44_40, 378, UNSAT, 0.03248906s
G44_50, 473, UNSAT, 0.04113889s
G44_60, 567, UNSAT, 0.02181792s
G44_70, 662, UNSAT, 0.02872705s
G44_80, 756, UNSAT, 0.04879022s
G44_90, 851, UNSAT, 0.05107093s
G44_100, 946, UNSAT, 0.06725407s
G45_10, 99, UNSAT, 0.00674009s
G45_20, 198, UNSAT, 0.00755095s
G45_30, 297, UNSAT, 0.01253295s
G45_40, 396, UNSAT, 0.02313113s
G45_50, 495, UNSAT, 0.04582095s
G45_60, 594, UNSAT, 0.02594805s
G45_70, 693, UNSAT, 0.03180408s
G45_80, 792, UNSAT, 0.04763103s
G45_90, 891, UNSAT, 0.05964899s
G45_100, 990, UNSAT, 0.07670689s
G46_10, 103, UNSAT, 0.00534892s
G46_20, 207, UNSAT, 0.01021004s
G46_30, 310, UNSAT, 0.01985192s
G46_40, 414, UNSAT, 0.02438807s
G46_50, 517, UNSAT, 0.03196692s
G46_60, 621, UNSAT, 0.02801204s
G46_70, 724, UNSAT, 0.03727603s
G46_80, 828, UNSAT, 0.05964613s
G46_90, 931, UNSAT, 0.06340003s
G46_100, 1035, UNSAT, 0.07985306s
G47_10, 108, UNSAT, 0.00605392s
G47_20, 216, UNSAT, 0.00867701s
G47_30, 324, UNSAT, 0.01974010s
G47_40, 432, UNSAT, 0.02852702s
G47_50, 540, UNSAT, 0.03782511s
G47_60, 648, UNSAT, 0.03497601s
G47_70, 756, UNSAT, 0.04292703s
G47_80, 864, UNSAT, 0.05401111s
G47_90, 972, UNSAT, 0.07509708s
G47_100, 1081, UNSAT, 0.08461714s
G48_10, 112, UNSAT, 0.00622392s
G48_20, 225, UNSAT, 0.00910401s
G48_30, 338, UNSAT, 0.01450491s
G48_40, 451, UNSAT, 0.02716303s
G48_50, 564, UNSAT, 0.03781009s
G48_60, 676, UNSAT, 0.03434610s
G48_70, 789, UNSAT, 0.05309010s
G48_80, 902, UNSAT, 0.05958915s
G48_90, 1015, UNSAT, 0.08023310s
G48_100, 1128, UNSAT, 0.09808207s
G49_10, 117, UNSAT, 0.00608397s
G49_20, 235, UNSAT, 0.01343703s
G49_30, 352, UNSAT, 0.03018785s
G49_40, 470, UNSAT, 0.02908397s
G49_50, 588, UNSAT, 0.03708887s
G49_60, 705, UNSAT, 0.03716993s
G49_70, 823, UNSAT, 0.05764198s
G49_80, 940, UNSAT, 0.06719804s
G49_90, 1058, UNSAT, 0.08622193s
G49_100, 1176, UNSAT, 0.10460806s
G50_10, 122, UNSAT, 0.00636792s
G50_20, 245, UNSAT, 0.01444697s
G50_30, 367, UNSAT, 0.02619910s
G50_40, 490, UNSAT, 0.03046608s
G50_50, 612, UNSAT, 0.04443884s
G50_60, 735, UNSAT, 0.04190779s
G50_70, 857, UNSAT, 0.05533099s
G50_80, 980, UNSAT, 0.07809305s
G50_90, 1102, UNSAT, 0.09745002s
G50_100, 1225, UNSAT, 0.11507010s
G51_10, 127, UNSAT, 0.00776386s
G51_20, 255, UNSAT, 0.02221704s
G51_30, 382, UNSAT, 0.02160001s
G51_40, 510, UNSAT, 0.03544998s
G51_50, 637, UNSAT, 0.04458904s
G51_60, 765, UNSAT, 0.04973102s
G51_70, 892, UNSAT, 0.06589198s
G51_80, 1020, UNSAT, 0.09535193s
G51_90, 1147, UNSAT, 0.09751081s
G51_100, 1275, UNSAT, 0.12298203s
G52_10, 132, UNSAT, 0.00831389s
G52_20, 265, UNSAT, 0.01861620s
G52_30, 397, UNSAT, 0.02656007s
G52_40, 530, UNSAT, 0.03320503s
G52_50, 663, UNSAT, 0.08675790s
G52_60, 795, UNSAT, 0.05557203s
G52_70, 928, UNSAT, 0.07348704s
G52_80, 1060, UNSAT, 0.08651495s
G52_90, 1193, UNSAT, 0.11309695s
G52_100, 1326, UNSAT, 0.13164306s
G53_10, 137, UNSAT, 0.00890398s
G53_20, 275, UNSAT, 0.02316689s
G53_30, 413, UNSAT, 0.02519894s
G53_40, 551, UNSAT, 0.03914905s
G53_50, 689, UNSAT, 0.07201099s
G53_60, 826, UNSAT, 0.06169510s
G53_70, 964, UNSAT, 0.07567310s
G53_80, 1102, UNSAT, 0.09838295s
G53_90, 1240, UNSAT, 0.13014793s
G53_100, 1378, UNSAT, 0.14716697s
G54_10, 143, UNSAT, 0.01019216s
G54_20, 286, UNSAT, 0.02163196s
G54_30, 429, UNSAT, 0.04365706s
G54_40, 572, UNSAT, 0.04667401s
G54_50, 715, UNSAT, 0.06198287s
G54_60, 858, UNSAT, 0.06519389s
G54_70, 1001, UNSAT, 0.09343791s
G54_80, 1144, UNSAT, 0.10726905s
