command,mean,stddev,median,user,system,min,max
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.10.7.graphml.cnf,0.0044416748893004124,0.0026524347838226413,0.004078819700000002,0.0020425485596707814,0.0013656378600823047,0.001711088700000001,0.0294446087
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.10.7.graphml.cnf,0.002882328464044947,0.0028789964642476477,0.002704182700000001,0.001419740449438202,0.0006566067415730342,0.0010174947000000023,0.046912184700000005
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.10.8.graphml.cnf,0.007010465587272729,0.00521871175232227,0.005912814300000001,0.0025312254545454536,0.0026379054545454545,0.0038373133000000007,0.0758328663
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.10.8.graphml.cnf,0.009118562176984129,0.009074914093709021,0.006263266300000001,0.0025667955555555575,0.0036111676190476194,0.0034374763000000006,0.0833136173
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.10.9.graphml.cnf,0.004889895139153099,0.0027068624423888608,0.00399699296,0.0020438241042345265,0.001718130814332248,0.002271501959999999,0.02630280296
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.10.9.graphml.cnf,0.0034388460257894727,0.0026575143662668776,0.0030871634600000003,0.0014593092105263158,0.0010547385526315791,0.0015849959600000001,0.04665267096
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.100.1.graphml.cnf,0.7954005203600001,0.08656669602957637,0.7820097771600001,0.6627668800000001,0.12132166,0.71143478966,0.98298422366
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.100.1.graphml.cnf,0.65736584016,0.05600724542414107,0.62796415916,0.5481227799999999,0.09664886,0.59655106566,0.74369778466
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.100.10.graphml.cnf,10.670739813660001,2.1053947992916884,9.74124000766,10.138299399999998,0.23632464,8.55396647716,14.149067584159999
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.100.10.graphml.cnf,0.8343841323600001,0.15868790436482746,0.80164634966,0.6625605,0.14190513999999999,0.70386057416,1.26588452916
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.100.2.graphml.cnf,9.93587676836,1.9031192360007623,9.296835974059999,9.57609984,0.19084888,8.82317481606,15.14623466306
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.100.2.graphml.cnf,1.3017591826600001,0.043667283686335906,1.29911578406,1.0593419400000001,0.21267988,1.2260146190599999,1.35759689406
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.100.3.graphml.cnf,1.2295209870000001,0.028132067132609878,1.2182654198,1.01197692,0.19203728,1.2026578613,1.2878514953
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.100.3.graphml.cnf,0.9810534638,0.022109228761314294,0.9789615648000001,0.8033065199999999,0.16019197999999998,0.9443662683,1.0258073893
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.100.5.graphml.cnf,1.1652992852399997,0.2829010468754356,1.2665557650400001,0.9334343799999999,0.18743796,0.70684189154,1.5964567615399998
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.100.5.graphml.cnf,0.56253299714,0.017712346360708654,0.5589814640399999,0.47007747999999994,0.08533036,0.53959976054,0.60256990454
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.100.6.graphml.cnf,0.80342489704,0.12838058838857314,0.81066169584,0.6523188199999999,0.12729949999999998,0.6394098298399999,0.9744159288400001
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.100.6.graphml.cnf,0.63293511144,0.02475576165818878,0.6196336018399999,0.5232974199999999,0.1002256,0.60895055784,0.67173952984
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.100.7.graphml.cnf,0.7225995458400001,0.020628651535208053,0.72272726474,0.5916506799999999,0.12098778000000002,0.68367878374,0.75174034174
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.100.7.graphml.cnf,0.64130707654,0.021880731456213606,0.63573363474,0.5227850799999999,0.10934078,0.62001730974,0.68126516674
