name,time_seconds,result
gl_grafo1672.19.gml.cnf,0,SAT
gl_grafo1673.20.gml.cnf,1.0,SAT
gl_grafo1674.12.gml.cnf,0,SAT
gl_grafo1675.19.gml.cnf,1.0,SAT
gl_grafo1676.20.gml.cnf,1.0,SAT
gl_grafo1679.18.gml.cnf,1.0,SAT
gl_grafo1683.11.gml.cnf,0,SAT
gl_grafo1684.19.gml.cnf,1.0,SAT
gl_grafo1686.16.gml.cnf,0,SAT
gl_grafo1688.13.gml.cnf,0,SAT
gl_grafo1690.20.gml.cnf,0,SAT
gl_grafo1691.16.gml.cnf,1.0,SAT
gl_grafo1692.16.gml.cnf,1.0,SAT
gl_grafo1693.12.gml.cnf,0,SAT
gl_grafo1695.15.gml.cnf,0,SAT
gl_grafo1697.11.gml.cnf,0,SAT
gl_grafo1700.15.gml.cnf,0,SAT
gl_grafo1703.18.gml.cnf,1.0,SAT
gl_grafo1704.10.gml.cnf,0,SAT
gl_grafo1705.19.gml.cnf,1.0,SAT
gl_grafo1707.18.gml.cnf,0,SAT
gl_grafo1709.13.gml.cnf,1.0,SAT
gl_grafo1713.19.gml.cnf,1.0,SAT
gl_grafo1714.12.gml.cnf,0,SAT
gl_grafo1716.20.gml.cnf,1.0,SAT
gl_grafo1717.14.gml.cnf,0,SAT
gl_grafo1719.13.gml.cnf,0,SAT
gl_grafo1720.19.gml.cnf,2.0,SAT
gl_grafo1722.12.gml.cnf,0,SAT
gl_grafo1723.10.gml.cnf,0,SAT
gl_grafo1724.19.gml.cnf,2.0,SAT
gl_grafo1729.13.gml.cnf,0,SAT
gl_grafo1731.16.gml.cnf,1.0,SAT
gl_grafo1732.17.gml.cnf,0,SAT
gl_grafo1733.20.gml.cnf,1.0,SAT
gl_grafo1734.11.gml.cnf,0,SAT
gl_grafo1735.11.gml.cnf,0,SAT
gl_grafo1738.15.gml.cnf,0,SAT
gl_grafo1739.16.gml.cnf,1.0,SAT
gl_grafo1740.10.gml.cnf,0,SAT
gl_grafo1741.16.gml.cnf,0,SAT
gl_grafo1744.12.gml.cnf,0,SAT
gl_grafo1745.17.gml.cnf,0,SAT
gl_grafo1747.19.gml.cnf,1.0,SAT
gl_grafo1748.16.gml.cnf,0,SAT
gl_grafo1750.12.gml.cnf,0,SAT
gl_grafo1751.17.gml.cnf,2.0,SAT
gl_grafo1753.16.gml.cnf,0,SAT
gl_grafo1754.13.gml.cnf,0,SAT
gl_grafo1755.20.gml.cnf,1.0,SAT
gl_grafo1756.16.gml.cnf,1.0,SAT
gl_grafo1757.20.gml.cnf,0,SAT
gl_grafo1761.20.gml.cnf,0,SAT
gl_grafo1763.12.gml.cnf,1.0,SAT
gl_grafo1764.20.gml.cnf,0,SAT
gl_grafo1766.11.gml.cnf,0,SAT
gl_grafo1769.16.gml.cnf,1.0,SAT
gl_grafo177.11.gml.cnf,0,SAT
gl_grafo1772.15.gml.cnf,1.0,SAT
gl_grafo1774.10.gml.cnf,0,SAT
gl_grafo1778.15.gml.cnf,0,SAT
gl_grafo1780.18.gml.cnf,0,SAT
gl_grafo1781.14.gml.cnf,1.0,SAT
gl_grafo1782.15.gml.cnf,0,SAT
gl_grafo1787.16.gml.cnf,0,SAT
gl_grafo1790.16.gml.cnf,0,SAT
gl_grafo1791.11.gml.cnf,1.0,SAT
gl_grafo1792.16.gml.cnf,0,SAT
gl_grafo1794.17.gml.cnf,0,SAT
gl_grafo1795.11.gml.cnf,0,SAT
gl_grafo1797.19.gml.cnf,0,SAT
gl_grafo1800.19.gml.cnf,1.0,SAT
gl_grafo1801.20.gml.cnf,0,SAT
gl_grafo1802.13.gml.cnf,0,SAT
gl_grafo1803.17.gml.cnf,0,SAT
gl_grafo1804.19.gml.cnf,1.0,SAT
gl_grafo1807.12.gml.cnf,0,SAT
gl_grafo1808.15.gml.cnf,0,SAT
gl_grafo1809.17.gml.cnf,2.0,SAT
gl_grafo1811.18.gml.cnf,1.0,SAT
gl_grafo1812.19.gml.cnf,1.0,SAT
gl_grafo1816.12.gml.cnf,0,SAT
gl_grafo1820.18.gml.cnf,1.0,SAT
gl_grafo1821.19.gml.cnf,1.0,SAT
gl_grafo1822.11.gml.cnf,0,SAT
gl_grafo1823.19.gml.cnf,1.0,SAT
gl_grafo1824.18.gml.cnf,0,SAT
gl_grafo1826.19.gml.cnf,1.0,SAT
gl_grafo1827.13.gml.cnf,0,SAT
gl_grafo1829.15.gml.cnf,0,SAT
gl_grafo1831.17.gml.cnf,1.0,SAT
gl_grafo1832.11.gml.cnf,0,SAT
gl_grafo1834.19.gml.cnf,1.0,SAT
gl_grafo1835.11.gml.cnf,0,SAT
gl_grafo1837.20.gml.cnf,0,SAT
gl_grafo1839.13.gml.cnf,0,SAT
gl_grafo1841.18.gml.cnf,2.0,SAT
gl_grafo1843.12.gml.cnf,0,SAT
gl_grafo1845.17.gml.cnf,0,SAT
gl_grafo1846.19.gml.cnf,1.0,SAT
gl_grafo1848.18.gml.cnf,1.0,SAT
gl_grafo1849.16.gml.cnf,0,SAT
gl_grafo1851.17.gml.cnf,1.0,SAT
gl_grafo1852.19.gml.cnf,0,SAT
gl_grafo1853.13.gml.cnf,0,SAT
gl_grafo1855.20.gml.cnf,2.0,SAT
gl_grafo1856.14.gml.cnf,0,SAT
gl_grafo1857.10.gml.cnf,0,SAT
gl_grafo1858.19.gml.cnf,2.0,SAT
gl_grafo1860.20.gml.cnf,0,SAT
gl_grafo1861.17.gml.cnf,0,SAT
gl_grafo1864.18.gml.cnf,0,SAT
gl_grafo1865.18.gml.cnf,0,SAT
gl_grafo1866.11.gml.cnf,0,SAT
gl_grafo187.15.gml.cnf,1.0,SAT
gl_grafo1870.14.gml.cnf,0,SAT
gl_grafo1871.17.gml.cnf,0,SAT
gl_grafo1873.20.gml.cnf,1.0,SAT
gl_grafo1875.17.gml.cnf,0,SAT
gl_grafo1876.11.gml.cnf,0,SAT
gl_grafo1878.16.gml.cnf,1.0,SAT
gl_grafo1881.19.gml.cnf,0,SAT
gl_grafo1882.19.gml.cnf,0,SAT
gl_grafo1883.15.gml.cnf,0,SAT
gl_grafo1884.16.gml.cnf,0,SAT
gl_grafo1885.13.gml.cnf,0,SAT
gl_grafo1888.15.gml.cnf,1.0,SAT
gl_grafo1891.18.gml.cnf,0,SAT
gl_grafo1893.18.gml.cnf,0,SAT
gl_grafo1895.14.gml.cnf,1.0,SAT
gl_grafo1897.19.gml.cnf,0,SAT
gl_grafo1898.10.gml.cnf,1.0,SAT
gl_grafo190.20.gml.cnf,0,SAT
gl_grafo1900.19.gml.cnf,1.0,SAT
gl_grafo1901.20.gml.cnf,0,SAT
gl_grafo1902.12.gml.cnf,0,SAT
gl_grafo1903.18.gml.cnf,1.0,SAT
gl_grafo1905.13.gml.cnf,0,SAT
gl_grafo1907.16.gml.cnf,1.0,SAT
gl_grafo1909.13.gml.cnf,0,SAT
gl_grafo1912.11.gml.cnf,0,SAT
gl_grafo1913.11.gml.cnf,0,SAT
gl_grafo1916.20.gml.cnf,1.0,SAT
gl_grafo1917.11.gml.cnf,1.0,SAT
gl_grafo1918.16.gml.cnf,0,SAT
gl_grafo192.13.gml.cnf,0,SAT
gl_grafo1920.11.gml.cnf,1.0,SAT
gl_grafo1924.16.gml.cnf,0,SAT
gl_grafo193.12.gml.cnf,1.0,SAT
