command,mean,stddev,median,user,system,min,max
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT1/g.10.17.gml.cnf,0.00430143487169329,0.004715848449806584,0.0037511266800000003,0.0015192662619808307,0.0013998486900958463,0.002203885680000001,0.06924328568
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT2/g.10.17.gml.cnf,0.004464234794754094,0.004165084504486947,0.004168720680000001,0.0015725340983606566,0.0015859291803278696,0.0022267256800000013,0.07423289868
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT1/g.10.19.gml.cnf,0.015729026772810465,0.00482567193044243,0.014974216080000002,0.012624895424836607,0.0016488678431372545,0.013182391080000001,0.07238660908000001
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT2/g.10.19.gml.cnf,0.004413594644784055,0.0008549415717696618,0.004352941080000001,0.0019894451827242535,0.0014524726245847199,0.0026308640800000015,0.008210090080000003
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT1/g.10.2.gml.cnf,0.0030113012767441828,0.000704948187051143,0.003053685799999998,0.0016415444186046503,0.001491922674418605,0.0011181052999999974,0.0048271962999999985
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT2/g.10.2.gml.cnf,0.0033401379033333295,0.003031475672554555,0.0031619117999999984,0.0016278666666666673,0.0015961033333333336,0.001111412299999998,0.0526500133
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT1/g.10.20.gml.cnf,0.0181943693514706,0.0095763116714727,0.0164134623,0.014113584411764704,0.0017445926470588242,0.0122421118,0.11134381680000001
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT2/g.10.20.gml.cnf,0.0039045468128205093,0.0005915690931932131,0.0038589498,0.0018371126923076937,0.0012156416666666667,0.0027287658000000005,0.005681324800000001
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT1/g.10.22.gml.cnf,0.034819468052105264,0.012392924633508386,0.03218155346,0.029235143684210523,0.0022537178947368425,0.029425098460000004,0.11894260246
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT2/g.10.22.gml.cnf,0.004822086095714288,0.0006526005101963259,0.00487252846,0.00214202,0.0016524599999999997,0.003060783460000001,0.00644694746
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT1/g.10.24.gml.cnf,0.0038401098815384637,0.0010496715993138044,0.003762463179999999,0.0015600630769230762,0.00131268,0.002172535179999999,0.01384806118
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT2/g.10.24.gml.cnf,0.004125310581459852,0.003060289533560445,0.00383502668,0.0015324710948905111,0.0014192581021897797,0.0022895421799999996,0.052089117180000005
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT1/g.10.25.gml.cnf,0.004664492964918034,0.0026913618719521817,0.00443785326,0.002205926229508196,0.0014694495081967224,0.0029581202600000014,0.048663293260000004
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT2/g.10.25.gml.cnf,0.004529928358159507,0.0010601010119770124,0.004461276760000001,0.0019123607361963189,0.0016519966871165646,0.0025621402600000008,0.00945350726
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT1/g.10.27.gml.cnf,0.004868907211707311,0.004101805780577731,0.0045519114799999994,0.002088388362369337,0.001518582857142857,0.0027375594799999995,0.07159265147999999
./solvers/kissat-4.0.1-apple-amd64 ./cnf/north_SAT2/g.10.27.gml.cnf,0.004286460590410094,0.002792961968178642,0.004051762479999999,0.0017446210094637217,0.001423279116719243,0.0021645544799999998,0.051564958480000006
