n,m,time(s)
5, 3, 0.000110804
5, 3, 0.000110925
5, 3, 0.000110083
5, 3, 0.000104240
5, 3, 0.000107049
5, 3, 0.000126697
5, 3, 0.000108088
5, 3, 0.000109706
5, 3, 0.000125155
5, 3, 0.000253459
5, 3, 0.000252366
5, 3, 0.000149485
5, 3, 0.000116171
5, 3, 0.000131167
5, 3, 0.000123544
5, 3, 0.000115274
5, 3, 0.000109172
5, 3, 0.000120106
5, 3, 0.000113830
5, 3, 0.000116430
5, 3, 0.000116537
5, 3, 0.000113746
5, 3, 0.000111281
5, 3, 0.000115999
5, 3, 0.000108045
5, 3, 0.000106791
5, 3, 0.000111398
5, 3, 0.000104453
5, 3, 0.000107405
5, 3, 0.000107280
5, 3, 0.000107831
5, 3, 0.000124907
5, 3, 0.000115673
5, 3, 0.000100535
5, 3, 0.000105605
5, 3, 0.000240419
5, 3, 0.000127314
5, 3, 0.000150671
5, 3, 0.000180493
5, 3, 0.000141416
5, 3, 0.000212225
5, 3, 0.000128004
5, 3, 0.000117662
5, 3, 0.000115083
5, 3, 0.000114146
5, 3, 0.000127003
5, 3, 0.000109384
5, 3, 0.000114818
5, 3, 0.000103072
5, 3, 0.000108256
5, 3, 0.000107907
5, 3, 0.000116696
5, 3, 0.000103081
5, 3, 0.000106837
5, 3, 0.000102968
5, 3, 0.000107902
5, 3, 0.000124004
5, 3, 0.000109442
5, 3, 0.000103105
5, 3, 0.000110399
5, 3, 0.000114936
5, 3, 0.000110245
5, 3, 0.000105038
5, 3, 0.000109973
5, 3, 0.000109593
5, 3, 0.000105570
5, 3, 0.000104484
5, 3, 0.000115777
5, 3, 0.000103829
5, 3, 0.000116476
5, 3, 0.000109978
5, 3, 0.000113574
5, 3, 0.000123036
5, 3, 0.000111725
5, 3, 0.000111513
5, 3, 0.000125754
5, 3, 0.000110093
5, 3, 0.000114878
5, 3, 0.000107669
5, 3, 0.000109123
5, 3, 0.000109373
5, 3, 0.000109246
5, 3, 0.000116165
5, 3, 0.000111656
5, 3, 0.000101248
5, 3, 0.000115711
5, 3, 0.000111931
5, 3, 0.000101095
5, 3, 0.000104212
5, 3, 0.000304400
5, 3, 0.000118996
5, 3, 0.000239228
5, 3, 0.000229209
5, 3, 0.000141968
5, 3, 0.000151176
5, 3, 0.000121567
5, 3, 0.000117464
5, 3, 0.000115394
5, 3, 0.000120334
5, 3, 0.000112697
5, 3, 0.000155662
5, 3, 0.000116204
5, 3, 0.000121013
5, 3, 0.000113135
5, 3, 0.000115901
5, 3, 0.000102618
5, 3, 0.000107923
5, 3, 0.000108237
5, 3, 0.000109057
5, 3, 0.000282163
5, 3, 0.000118112
5, 3, 0.000120328
5, 3, 0.000114406
5, 3, 0.000107798
5, 3, 0.000139845
5, 3, 0.000118938
5, 3, 0.000116180
5, 3, 0.000147774
5, 3, 0.000119055
5, 3, 0.000118347
5, 3, 0.000114398
5, 3, 0.000111537
5, 3, 0.000113343
5, 3, 0.000113169
5, 3, 0.000125525
5, 3, 0.000105776
5, 3, 0.000105270
5, 3, 0.000106667
5, 3, 0.000109229
5, 3, 0.000098468
5, 3, 0.000102464
5, 3, 0.000123703
5, 3, 0.000127479
5, 3, 0.000109098
5, 3, 0.000137463
5, 3, 0.000121787
5, 3, 0.000111766
5, 3, 0.000108324
5, 3, 0.000138374
5, 3, 0.000132821
5, 3, 0.000147973
5, 3, 0.000122175
5, 3, 0.000117135
5, 3, 0.000131286
5, 3, 0.000123281
5, 3, 0.000109681
5, 3, 0.000111866
5, 3, 0.000121184
5, 3, 0.000110139
5, 3, 0.000120763
5, 3, 0.000107272
5, 3, 0.000101907
5, 3, 0.000113909
5, 3, 0.000106577
5, 3, 0.000121348
5, 3, 0.000102099
5, 3, 0.000106780
5, 3, 0.000121173
5, 3, 0.000104426
5, 3, 0.000108303
5, 3, 0.000104058
5, 3, 0.000107917
5, 3, 0.000099074
5, 3, 0.000102824
5, 3, 0.000104543
5, 3, 0.000113673
5, 3, 0.000105965
5, 3, 0.000218089
5, 3, 0.000120727
5, 3, 0.000135200
5, 3, 0.000143623
5, 3, 0.000115807
5, 3, 0.000121446
5, 3, 0.000139918
5, 3, 0.000127140
5, 3, 0.000123933
5, 3, 0.000120773
5, 3, 0.000105081
5, 3, 0.000108575
5, 3, 0.000107328
5, 3, 0.000109149
5, 3, 0.000135296
5, 3, 0.000111814
5, 3, 0.000113089
5, 3, 0.000106858
5, 3, 0.000105605
5, 3, 0.000113595
5, 3, 0.000105390
5, 3, 0.000106592
5, 3, 0.000111091
5, 3, 0.000107031
5, 3, 0.000106969
5, 3, 0.000101887
5, 3, 0.000102179
5, 3, 0.000103959
5, 3, 0.000108544
5, 3, 0.000180375
5, 3, 0.000114417
5, 3, 0.000217992
5, 3, 0.000139577
5, 3, 0.000116639
5, 3, 0.000111946
5, 3, 0.000104511
5, 3, 0.000108828
5, 3, 0.000106789
5, 3, 0.000107780
5, 3, 0.000112710
5, 3, 0.000107460
5, 3, 0.000119637
5, 3, 0.000099251
5, 3, 0.000098406
5, 3, 0.000099784
5, 3, 0.000103240
5, 3, 0.000097662
5, 3, 0.000099675
5, 3, 0.000105367
5, 3, 0.000107965
5, 3, 0.000123321
5, 3, 0.000120424
5, 3, 0.000115135
5, 3, 0.000109456
5, 3, 0.000109257
5, 3, 0.000107911
5, 3, 0.000109219
5, 3, 0.000111846
5, 3, 0.000103678
5, 3, 0.000106568
5, 3, 0.000109263
5, 3, 0.000105528
5, 3, 0.000109092
5, 3, 0.000099429
5, 3, 0.000104727
5, 3, 0.000105135
5, 3, 0.000121906
5, 3, 0.000121930
5, 3, 0.000121108
5, 3, 0.000104273
5, 3, 0.000106666
5, 3, 0.000105935
5, 3, 0.000105677
5, 3, 0.000100222
5, 3, 0.000109704
5, 3, 0.000100264
5, 3, 0.000108602
5, 3, 0.000104769
5, 3, 0.000217224
5, 3, 0.000128872
5, 3, 0.000113875
5, 3, 0.000111191
5, 3, 0.000110396
5, 3, 0.000281630
5, 3, 0.000132412
5, 3, 0.000224448
5, 3, 0.000413912
5, 3, 0.000352954
5, 3, 0.000135536
5, 3, 0.000127035
5, 3, 0.000128017
5, 3, 0.000119304
5, 3, 0.000161734
5, 3, 0.000120844
5, 3, 0.000109000
5, 3, 0.000112452
5, 3, 0.000111932
5, 3, 0.000115611
5, 3, 0.000143411
5, 3, 0.000115283
5, 3, 0.000114906
5, 3, 0.000107507
5, 3, 0.000110497
5, 3, 0.000115271
5, 3, 0.000112754
5, 3, 0.000105840
5, 3, 0.000107814
5, 3, 0.000112729
5, 3, 0.000136344
5, 3, 0.000116528
5, 3, 0.000112459
5, 3, 0.000111993
5, 3, 0.000104901
5, 3, 0.000113036
5, 3, 0.000109428
5, 3, 0.000108469
5, 3, 0.000126136
5, 3, 0.000120174
5, 3, 0.000116900
5, 3, 0.000112668
5, 3, 0.000110907
5, 3, 0.000102405
5, 3, 0.000106682
5, 3, 0.000168489
5, 3, 0.000121717
5, 3, 0.000111739
5, 3, 0.000115870
5, 3, 0.000108721
5, 3, 0.000112599
5, 3, 0.000113486
5, 3, 0.000101225
5, 3, 0.000122402
5, 3, 0.000110259
5, 3, 0.000151168
5, 3, 0.000118682
5, 3, 0.000111011
5, 3, 0.000128196
5, 3, 0.000112984
5, 3, 0.000102084
5, 3, 0.000105565
5, 3, 0.000128095
5, 3, 0.000108245
5, 3, 0.000120240
5, 3, 0.000104378
5, 3, 0.000112074
5, 3, 0.000104611
5, 3, 0.000098445
5, 3, 0.000100240
5, 3, 0.000099206
5, 3, 0.000104622
5, 3, 0.000108933
5, 3, 0.000108280
5, 3, 0.000100731
5, 3, 0.000103379
5, 3, 0.000109288
5, 3, 0.000184780
5, 3, 0.000124190
5, 3, 0.000119724
5, 3, 0.000119421
5, 3, 0.000115659
5, 3, 0.000112849
5, 3, 0.000104606
5, 3, 0.000103544
5, 3, 0.000102336
5, 3, 0.000145418
5, 3, 0.000113002
5, 3, 0.000119326
5, 3, 0.000120090
5, 3, 0.000112978
5, 3, 0.000115801
5, 3, 0.000112401
5, 3, 0.000105650
5, 3, 0.000105324
5, 3, 0.000108382
5, 3, 0.000112716
5, 3, 0.000108477
5, 3, 0.000142952
5, 3, 0.000112763
5, 3, 0.000117635
5, 3, 0.000107831
5, 3, 0.000101656
5, 3, 0.000099847
5, 3, 0.000101499
5, 3, 0.000100756
5, 3, 0.000100507
5, 3, 0.000170142
5, 3, 0.000122193
5, 3, 0.000122348
5, 3, 0.000114226
5, 3, 0.000158526
5, 3, 0.000128688
5, 3, 0.000109252
5, 3, 0.000137648
5, 3, 0.000119247
5, 3, 0.000110041
5, 3, 0.000103607
5, 3, 0.000103525
5, 3, 0.000106652
5, 3, 0.000106697
5, 3, 0.000108172
5, 3, 0.000126618
