n,m,time(s),sat
5,2,0.000279034,True
5,2,0.000262060,True
5,2,0.000251020,True
5,2,0.000264047,True
5,2,0.000251079,True
5,2,0.000249755,True
5,2,0.000269312,True
5,2,0.000238123,True
5,2,0.000247109,True
5,2,0.000221491,True
5,2,0.000227284,True
5,2,0.000223332,True
5,2,0.000235418,True
5,2,0.000264966,True
5,2,0.000267605,True
5,2,0.000258277,True
5,2,0.000248098,True
5,2,0.000278580,True
5,2,0.000248007,True
5,2,0.000241678,True
5,2,0.000228738,True
5,2,0.000302179,True
5,2,0.000237103,True
5,2,0.000238407,True
5,2,0.000217453,True
5,2,0.000339857,True
5,2,0.000236973,True
5,2,0.000274566,True
5,2,0.000274273,True
5,2,0.000258379,True
5,2,0.000233069,True
5,2,0.000249998,True
5,2,0.000253647,True
5,2,0.000234829,True
5,2,0.000233652,True
5,2,0.000251496,True
5,2,0.000275301,True
5,2,0.000248707,True
5,2,0.000248856,True
5,2,0.000241437,True
5,2,0.000233207,True
5,2,0.000233241,True
5,2,0.000341880,True
5,2,0.000233756,True
5,2,0.000260317,True
5,2,0.000256471,True
5,2,0.000337618,True
5,2,0.000235835,True
5,2,0.000572820,True
5,2,0.000264105,True
5,2,0.000238786,True
5,2,0.000226348,True
5,2,0.000226609,True
5,2,0.000220981,True
5,2,0.000223271,True
5,2,0.000225879,True
5,2,0.000766973,True
5,2,0.000262052,True
5,2,0.000239902,True
5,2,0.000253209,True
5,2,0.000254605,True
5,2,0.000243367,True
5,2,0.000245435,True
5,2,0.000310497,True
5,2,0.000317889,True
5,2,0.000249611,True
5,2,0.000255253,True
5,2,0.000240153,True
5,2,0.000249362,True
5,2,0.000259081,True
5,2,0.000300280,True
5,2,0.000377248,True
5,2,0.000240421,True
5,2,0.000254125,True
5,2,0.000263000,True
5,2,0.000243709,True
5,2,0.000239001,True
5,2,0.000245640,True
5,2,0.000239800,True
5,2,0.000246464,True
5,2,0.000242304,True
5,2,0.000238656,True
5,3,0.000288171,True
5,3,0.000284511,True
5,3,0.000277380,True
5,3,0.000269874,True
5,3,0.000260599,True
5,3,0.000368089,True
5,3,0.000274074,True
5,3,0.000283925,True
5,3,0.000246826,True
5,3,0.000251564,True
5,3,0.000243763,True
5,3,0.000255927,True
5,3,0.000230291,True
5,3,0.000252213,True
5,3,0.000262727,True
5,3,0.000308431,True
5,3,0.000268505,True
5,3,0.000264764,True
5,3,0.000244808,True
5,3,0.000257208,True
5,3,0.000256861,True
5,3,0.000280432,True
5,3,0.000270100,True
5,3,0.000264514,True
5,3,0.000233166,True
5,3,0.000251877,True
5,3,0.000260718,True
5,3,0.000310118,True
5,3,0.000253434,True
5,3,0.000276691,True
5,3,0.000254897,True
5,3,0.000252594,True
5,3,0.000252310,True
5,3,0.000235412,True
5,3,0.000249542,True
5,3,0.000279178,True
5,3,0.000257880,True
5,3,0.000255393,True
5,3,0.000252825,True
5,3,0.000252285,True
5,3,0.000257133,True
5,3,0.000521414,True
5,3,0.000268440,True
5,3,0.000252321,True
5,3,0.000254035,True
5,3,0.000247579,True
5,3,0.000259403,True
5,3,0.000269608,True
5,3,0.000277267,True
5,3,0.000253707,True
5,3,0.000233179,True
5,3,0.000246618,True
5,3,0.000255231,True
5,3,0.000254402,True
5,3,0.000309106,True
5,3,0.000275398,True
5,3,0.000272370,True
5,3,0.000234511,True
5,3,0.000249098,True
5,3,0.000239348,True
5,3,0.000272120,True
5,3,0.000294418,True
5,3,0.000264632,True
5,3,0.000252555,True
