n,m,time(s),sat,median_time(s)
5,3,0.000029634,True,0.000027714
5,3,0.000035253,True,0.000036310
5,3,0.000030326,True,0.000028791
5,3,0.000033777,True,0.000031606
5,3,0.000030917,True,0.000029731
5,3,0.000034049,True,0.000036441
5,3,0.000029711,True,0.000028022
5,3,0.000031802,True,0.000030156
5,3,0.000030650,True,0.000029088
5,3,0.000035574,True,0.000038309
5,3,0.000030267,True,0.000028274
5,3,0.000030401,True,0.000028349
5,3,0.000035168,True,0.000032965
5,3,0.000029294,True,0.000027702
5,3,0.000030945,True,0.000029225
5,3,0.000030819,True,0.000029425
5,3,0.000033665,True,0.000031838
5,3,0.000030237,True,0.000028679
5,3,0.000046251,True,0.000032813
5,3,0.000041084,True,0.000030699
5,3,0.000315031,True,0.000051030
5,3,0.000047155,True,0.000049604
5,3,0.000032920,True,0.000031355
5,3,0.000035397,True,0.000032522
5,3,0.000044629,True,0.000039862
5,3,0.000034464,True,0.000031166
5,3,0.000034102,True,0.000031206
5,3,0.000030139,True,0.000028733
5,3,0.000031973,True,0.000029780
5,3,0.000030787,True,0.000028934
5,3,0.000039943,True,0.000029538
5,3,0.000031794,True,0.000030977
5,3,0.000033836,True,0.000031370
5,3,0.000037745,True,0.000032692
5,3,0.000030260,True,0.000028430
5,3,0.000034751,True,0.000030524
5,3,0.000033086,True,0.000031095
5,3,0.000034509,True,0.000032069
5,3,0.000029121,True,0.000027578
5,3,0.000032663,True,0.000030398
5,3,0.000031831,True,0.000031057
5,3,0.000040690,True,0.000032433
5,3,0.000030723,True,0.000028031
5,3,0.000032420,True,0.000031624
5,3,0.000032045,True,0.000028502
5,3,0.000029907,True,0.000028330
5,3,0.000035366,True,0.000030363
5,3,0.000031621,True,0.000028501
5,3,0.000041441,True,0.000038976
5,3,0.000029740,True,0.000028035
5,3,0.000034209,True,0.000035194
5,3,0.000031347,True,0.000028990
5,3,0.000034109,True,0.000031403
5,3,0.000032777,True,0.000029691
5,3,0.000031598,True,0.000029996
5,3,0.000029974,True,0.000028526
5,3,0.000047140,True,0.000033449
5,3,0.000035827,True,0.000032556
5,3,0.000032473,True,0.000027924
5,3,0.000031364,True,0.000030172
5,3,0.000031942,True,0.000029169
5,3,0.000036888,True,0.000037823
5,3,0.000029159,True,0.000027303
5,3,0.000032077,True,0.000030934
5,3,0.000046345,True,0.000042784
5,3,0.000033969,True,0.000029290
5,3,0.000030369,True,0.000028553
5,3,0.000032206,True,0.000031136
5,3,0.000035994,True,0.000033737
5,3,0.000030597,True,0.000028638
5,3,0.000030054,True,0.000028307
5,3,0.000032912,True,0.000030175
5,3,0.000034908,True,0.000031535
5,3,0.000037339,True,0.000031375
5,3,0.000035585,True,0.000036728
5,3,0.000031069,True,0.000028165
5,3,0.000031495,True,0.000029280
5,3,0.000028664,True,0.000027354
5,3,0.000032012,True,0.000031447
5,3,0.000036161,True,0.000028487
5,3,0.000037608,True,0.000037241
5,3,0.000029570,True,0.000028206
5,3,0.000031741,True,0.000030897
5,3,0.000030793,True,0.000029091
5,3,0.000046593,True,0.000038783
5,3,0.000030547,True,0.000028728
5,3,0.000032424,True,0.000029037
5,3,0.000030696,True,0.000028093
5,3,0.000029424,True,0.000027327
5,3,0.000037271,True,0.000030721
5,3,0.000030269,True,0.000028565
5,3,0.000035250,True,0.000037843
5,3,0.000028822,True,0.000026911
5,3,0.000031754,True,0.000030332
5,3,0.000029417,True,0.000028017
5,3,0.000033883,True,0.000032283
5,3,0.000029145,True,0.000027235
5,3,0.000029307,True,0.000027535
5,3,0.000029750,True,0.000027976
5,3,0.000033374,True,0.000030304
5,3,0.000031744,True,0.000029281
5,3,0.000031478,True,0.000028424
5,3,0.000037214,True,0.000035912
5,3,0.000030749,True,0.000028106
5,3,0.000029350,True,0.000027585
5,3,0.000032095,True,0.000029699
5,3,0.000030031,True,0.000027959
5,3,0.000031527,True,0.000029199
5,3,0.000036517,True,0.000030364
5,3,0.000029772,True,0.000028220
5,3,0.000033767,True,0.000031945
5,3,0.000031305,True,0.000029151
5,3,0.000030516,True,0.000029487
5,3,0.000031686,True,0.000031004
5,3,0.000029668,True,0.000027945
5,3,0.000029030,True,0.000027429
5,3,0.000031788,True,0.000029150
5,3,0.000031440,True,0.000029789
5,3,0.000030073,True,0.000027931
5,3,0.000030773,True,0.000029411
5,3,0.000031324,True,0.000028876
5,3,0.000031714,True,0.000029839
5,3,0.000033735,True,0.000029979
5,3,0.000031694,True,0.000029558
5,3,0.000029912,True,0.000028276
5,3,0.000029618,True,0.000027875
5,3,0.000029899,True,0.000028287
5,3,0.000031027,True,0.000029430
5,3,0.000033016,True,0.000030952
5,3,0.000029685,True,0.000027473
5,3,0.000030217,True,0.000029730
5,3,0.000031813,True,0.000029758
5,3,0.000036270,True,0.000037941
5,3,0.000030412,True,0.000027787
5,3,0.000029806,True,0.000028093
5,3,0.000030219,True,0.000028615
5,3,0.000034194,True,0.000033799
5,3,0.000030683,True,0.000028492
5,3,0.000029469,True,0.000027413
5,3,0.000039418,True,0.000029561
5,3,0.000036342,True,0.000031443
5,3,0.000031500,True,0.000029567
5,3,0.000035974,True,0.000032174
5,3,0.000031388,True,0.000029067
5,3,0.000031736,True,0.000029790
5,3,0.000029656,True,0.000028156
5,3,0.000031302,True,0.000029797
5,3,0.000030197,True,0.000028912
5,3,0.000043575,True,0.000035410
5,3,0.000030113,True,0.000028482
5,3,0.000032685,True,0.000030898
5,3,0.000031000,True,0.000029270
5,3,0.000029782,True,0.000028052
5,3,0.000029421,True,0.000027379
5,3,0.000031330,True,0.000029420
5,3,0.000033067,True,0.000030866
